d,o,h,l,c,v,ma5,ma20,ma60
2025-04-01,927.0,946.0,925.0,942.0,24769306,952.2,974.85,1051.03
2025-04-02,949.0,952.0,938.0,942.0,17304164,943.2,970.7,1048.65
2025-04-07,848.0,848.0,848.0,848.0,15207852,920.8,962.35,1044.62
2025-04-08,797.0,843.0,797.0,817.0,90688917,893.4,953.2,1040.15
2025-04-09,809.0,826.0,780.0,792.0,97266929,868.2,942.95,1035.35
2025-04-10,863.0,863.0,863.0,863.0,11145732,852.4,937.55,1032.07
2025-04-11,848.0,885.0,836.0,884.0,57751209,840.8,932.65,1028.8
2025-04-14,895.0,903.0,867.0,868.0,52671076,844.8,927.5,1024.52
2025-04-15,874.0,879.0,865.0,878.0,20902553,857.0,923.25,1020.15
2025-04-16,867.0,869.0,852.0,856.0,35618662,869.8,917.5,1015.92
2025-04-17,849.0,856.0,842.0,851.0,24180099,867.4,911.6,1011.68
2025-04-18,853.0,858.0,850.0,851.0,15121768,860.8,906.55,1007.37
2025-04-21,844.0,847.0,832.0,834.0,16914787,854.0,899.15,1003.27
2025-04-22,826.0,829.0,818.0,822.0,21602970,842.8,891.6,998.97
2025-04-23,853.0,870.0,848.0,866.0,25436286,844.8,886.25,995.65
2025-04-24,886.0,886.0,859.0,863.0,19736676,847.2,879.8,991.62
2025-04-25,900.0,901.0,886.0,888.0,23722090,854.6,874.85,987.83
2025-04-28,898.0,898.0,893.0,896.0,13485452,867.0,871.65,984.02
2025-04-29,897.0,902.0,893.0,900.0,18887619,882.6,868.95,980.27
2025-04-30,901.0,908.0,899.0,905.0,39018808,890.4,868.3,976.35
2025-05-02,938.0,945.0,932.0,945.0,134113748,906.8,868.45,974.18
2025-05-05,956.0,957.0,923.0,937.0,312373670,916.6,868.2,971.63
2025-05-06,916.0,930.0,916.0,924.0,213774496,922.2,872.0,968.53
2025-05-07,925.0,932.0,911.0,920.0,215531685,926.2,877.15,965.45
2025-05-08,933.0,939.0,928.0,933.0,175360210,931.8,884.2,962.33
2025-05-09,938.0,949.0,934.0,949.0,287563140,932.6,888.5,959.73
2025-05-12,954.0,962.0,952.0,956.0,166915250,936.4,892.1,957.17
2025-05-13,990.0,990.0,972.0,973.0,278561790,946.2,897.35,954.97
2025-05-14,990.0,997.0,988.0,997.0,328181350,961.6,903.3,953.5
2025-05-15,1000.0,1000.0,993.0,995.0,162019420,974.0,910.25,952.33
2025-05-16,991.0,996.0,989.0,995.0,115861720,983.2,917.45,950.83
2025-05-19,993.0,994.0,980.0,983.0,155956780,988.6,924.05,949.05
2025-05-20,991.0,994.0,978.0,980.0,139469430,990.0,931.35,947.22
2025-05-21,986.0,999.0,983.0,998.0,199686720,990.2,940.15,945.85
2025-05-22,988.0,988.0,979.0,982.0,126438710,987.6,945.95,944.05
2025-05-23,993.0,993.0,975.0,980.0,157759340,984.6,951.8,942.47
2025-05-26,975.0,984.0,975.0,977.0,150476170,983.4,956.25,941.17
